Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
Site,,,,,,,
,State,The state in which the site is located.,StateEnum,,DC; AS; GU; CM; PR; VI; PTR; AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RIL; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,ENUM,1
,Postal Code,The postal code in which the site is located.,PostalCode,,,string,1
EnergyUse,,,,,,,
,Units,Units for energy use.,EnergyUnitsEnum,,kWh (thousand Watt-hours); therms; Gallons; KLbs. (thousand pounds); kcf (thousand cubic feet); ccf (hundred cubic feet); cf (cubic feet); MBtu (million Btu); Tons; Lbs. (pounds); kBtu (thousand Btu); Ton Hours; MLbs. (million pounds); MWh (million Watt-hours); MCF (million cubic feet); Cubic Meters; Wh (Watt-hours); kWh (thousand Watt-hours); MWh (million Watt-hours); Btu (British thermal units); kBtu (thousand Btu); MBtu (million Btu); therms; Other Or No Units; Unknown,ENUM,1
ResidentialFacility,,,,,,,
,Owner Phone Number,"Home phone number of residential facility owner, if appropriate.",OwnerPhoneNumber,,,string,4
,Facility Phone,Phone number to reach primary property contact.,FacilityPhone,,,string,4
,Property Management Phone,Phone number of property management company.,PropertyManagementPhone,,,string,4
CommercialFacility,,,,,,,
,Property Management Phone,Phone number of property management company.,PropertyManagementPhone,,,string,4
Measures,,,,,,,
,Auditor Company Phone Number,Phone number of auditor.,AuditorCompanyPhoneNumber,,,string,4
,Implementer Company Phone Number,Phone number of implementer.,ImplementerCompanyPhoneNumber,,,string,4
