Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
Site,,,,,,,
,Complex Type,"If the site hosts a complex, the main purpose or use of the complex as a whole.",ComplexTypeEnum,,College or University; Primary or secondary school (K-12); Other type of school; Office complex; Retail complex; Religious complex; Hospital or other health care complex; Lodging or resort complex; Post office complex; Other type of government complex; Industrial complex; Transportation complex; Multifamily; Other Or Combination; Unknown,ENUM,3
ResidentialFacility,,,,,,,
,Owner Postal Code,The postal code in which the site is located.,PostalCode,,,string,1
,Operator Type,Entity responsible for the operation of the facility.,OperatorTypeEnum,,Owner; Occupant; Property Management Company; Other corporation/partnership/LLC; Religious organization; Other non-profit organization; Privately-owned school; Individual owner; Other nongovernment owner; Government; Federal government; State government; Local government; Other Or Combination; Unknown,ENUM,2
,Floor Plan Type,Floor plan type. There may be as many types as number of different floor plans.,FloorPlanTypeEnum,,Studio; 1 Bed/1 Bath; 1 Bed/1+ Bath; 2 Bed/1 Bath; 2 Bed/1+ Bath; 3+ Bed/1+ Bath; Other; Unknown,ENUM,3
,Ownership Status,"The relationship of a housing unit's occupants to the structure itself, not the land on which the structure is located.",OwnershipStatusEnum,,Own or Buying; Renting; Occupying without payment of rent; Other Or Combination; Unknown,ENUM,3
,Occupant Education,Highest education level of the household occupants.,OccupantEducationEnum,,No High School; Some High School; High School Graduate; Some College; Vocational/Technical/Associates Degree; Bachelor's Degree; Some Post Graduate; Master's Degree; Professional Degree; Doctoral Degree; Other Or Combination; Unknown,ENUM,3
,Resident Population Type,This is a descriptor used to identify multifamily housing that may be marketed to and/or dedicated for specific resident populations. Applies to the majority (more than 50%) of the residents.,ResidentPopulationTypeEnum,,Student; Military; Senior or Independent Living; Special Accessibility Needs; Other Or Combination; Unknown,ENUM,3
,Owner State,The state in which the site is located.,StateEnum,,DC; AS; GU; CM; PR; VI; PTR; AL; AK; AZ; AR; CA; CO; CT; DE; FL; GA; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MA; MI; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NY; NC; ND; OH; OK; OR; PA; RI; SC; SD; TN; TX; UT; VT; VA; WA; WV; WI; WY,ENUM,1
,Owner Type,"The type of organization, association, business, etc. that owns the facility.",OwnerTypeEnum,,Property Management Company; Corporation/Partnership/LLC; Religious Organization; Other Non-Profit organization; Privately-Owned School; Individual; Other Nongovernment; Government; Federal Government; State Government; Local Government; Other; Unknown,ENUM,1
,Operator Type,Entity responsible for the operation of the facility.,OperatorTypeEnum,,Owner; Occupant; Property Management Company; Other corporation/partnership/LLC; Religious organization; Other non-profit organization; Privately-owned school; Individual owner; Other nongovernment owner; Government; Federal government; State government; Local government; Other Or Combination; Unknown,ENUM,2
,Building Certification Type,"Building energy labeling, rating, or sustainability certification obtained. (Multiple instances of this field)",BuildingCertificationTypeEnum,,ASHRAE Building EQ; CMP Green Value Score; EPA ENERGY STAR Rating; EPA ENERGY STAR Label; Green Globes Rating; USGBC LEED Certification for New Construction & Major Renovation (NC); USGBC LEED Certification for Core & Shell Development (CS); USGBC LEED Certification for Commercial Interiors (CI); USGBC LEED Certification For Existing Buildings: Operations & Management (EBOM); USGBC LEED Certification for Retail; USGBC LEED Certification for Schools; USGBC LEED Certification for Healthcare; USGBC LEED Certification Neighborhood Development (ND); USGBC LEED Certification for Homes; Certified; Not Certified; Unknown,ENUM,1
,Complete Total Energy,"True if facility record includes all energy types used at the facility, false otherwise. E.g. field is false if natural gas is missing.",CompleteTotalEnergy,,,boolean,1
CommercialFacility,,,,,,,
,Owner Phone Number,Phone number of the commercial facility owner.,OwnerPhoneNumber,,,string,4
,Owner Postal Code,The postal code in which the site is located.,PostalCode,,,string,1
